Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,73002,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.1,,,11.3,15.1,1062,POINT (-97.73097606 34.94935021),73002,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73002,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.6,,,33.8,47.6,1062,POINT (-97.73097606 34.94935021),73002,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73003,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.9,,,7.8,10.2,20617,POINT (-97.49717346 35.66897845),73003,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73003,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.4,,,30.2,38.6,20617,POINT (-97.49717346 35.66897845),73003,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73004,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.2,,,8.7,11.8,857,POINT (-97.905542 35.13636931),73004,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73004,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.9,,,31.3,45,857,POINT (-97.905542 35.13636931),73004,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73005,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,15.3,,,13.6,17.2,9541,POINT (-98.23818097 35.05783297),73005,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73005,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,45,,,38.6,51.7,9541,POINT (-98.23818097 35.05783297),73005,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73006,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.7,,,12.3,15.3,3718,POINT (-98.40269923 34.90892372),73006,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73006,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.1,,,37.9,48.6,3718,POINT (-98.40269923 34.90892372),73006,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73007,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.6,,,9.5,11.9,2178,POINT (-97.31856321 35.68862223),73007,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73007,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.1,,,32.5,40.1,2178,POINT (-97.31856321 35.68862223),73007,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73008,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.3,,,10.8,13.9,19800,POINT (-97.64604609 35.51409172),73008,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,73008,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.2,,,32,40.4,19800,POINT (-97.64604609 35.51409172),73008,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,73009,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.7,,,12.1,15.6,1264,POINT (-98.3636239 35.28608367),73009,HLTHOUT,DIABETES,CrdPrv,Diabetes
