Zipcode,Average Income
73002,3596.333333
73003,120412.1667
73004,4271.333333
73005,23016.5
73006,11155.33333
73007,43999.33333
73008,69264.83333
73009,4544.833333
73010,106535.5
73011,876.8333333
73012,308583
73013,453331.5
73014,7442
73015,7080.333333
73016,11733.33333
73017,4890
73018,67682.66667
73020,139939.8333
73021,1224.833333
73024,2117
73025,221609
73026,69346
73027,4103.333333
73028,12928.16667
73029,5594.5
73030,19264.16667
73034,391322.5
73036,71963.5
73038,6446.833333
73040,5897.666667
73041,959
73042,3195.833333
73044,104234.8333
73045,50699.66667
73047,13218.5
73048,8659.166667
73049,47297.33333
73051,23453.5
73052,24002
73053,2324.333333
73054,20891.5
73055,37665.5
73056,1585.666667
73057,7445.833333
73058,1608.5
73059,11674.5
73061,7381.666667
73062,3809.666667
73063,3338.166667
73064,141775
73065,59542.83333
73067,6987.833333
73068,49603.66667
73069,112727.8333
73071,166359.6667
73072,291835
73073,2649.833333
73074,4321.333333
73075,34986.66667
73077,28631.5
73078,86268.83333
73079,2317.666667
73080,42203.16667
73082,7928
73084,16784.33333
73086,33094.33333
73089,79917.5
73090,4679.666667
73092,2824.833333
73093,21579
73095,7512
73096,58685.5
73098,15833.83333
73099,459684.6667
73102,24250.5
73103,40534.83333
73104,24077.83333
73105,22175.66667
73106,47729
73107,81402.83333
73108,25964.5
73109,36166.16667
73110,102314
73111,26405.66667
73112,128275.3333
73114,52890.83333
73115,61403.5
73116,176205
73117,12560.16667
73118,89088.16667
73119,55312.5
73120,278556.5
73121,19400
73122,43044.83333
73127,63448.83333
73128,23704.33333
73129,32899.5
73130,96566.5
73131,38761
73132,115839.5
73134,38053
73135,77544
73139,55789.5
73141,8059.833333
73142,162270.3333
73145,7545.166667
73149,12343.33333
73150,31580.5
73151,26331.5
73159,103358.1667
73160,252979.6667
73162,162452.6667
73165,49049.83333
73169,17471.33333
73170,251032.6667
73173,32479.66667
73179,44967.16667
73401,144659.1667
73430,4307.833333
73432,3136.333333
73433,9270.333333
73434,1840.833333
73438,9467.833333
73439,29220.16667
73440,954.3333333
73442,1499.166667
73443,14734.66667
73446,31669.16667
73447,3551.833333
73448,22533.5
73449,11659.66667
73450,3521.833333
73453,2929
73456,5964.666667
73458,4415.166667
73459,5327.666667
73460,14379
73461,1987.166667
73463,10496
73481,3066.333333
73501,45884
73503,17951
73505,170613.6667
73507,82789.66667
73521,75583.83333
73526,7615
73527,24189.33333
73528,2415.333333
73529,15808
73530,1058
73531,1412.666667
73532,2826.166667
73533,97889.83333
73537,1231.833333
73538,31338.16667
73540,1734.5
73541,13593.66667
73542,11547.5
73543,5889.833333
73546,2430.333333
73547,3584.666667
73548,1423.833333
73549,1031
73550,6209.666667
73552,4535.166667
73554,8620.166667
73559,1009.833333
73560,2482.166667
73562,2070.666667
73564,1850.833333
73565,2147.5
73566,5501.333333
73568,2646.333333
73569,1169.333333
73570,3289.166667
73572,11974.16667
73573,6416.833333
73601,34772.5
73620,4333.666667
73622,946.1666667
73625,1527.666667
73626,4218.833333
73627,2394.166667
73628,6294.5
73632,11218.66667
73639,2039.833333
73641,1868
73644,48019.16667
73645,3157.833333
73646,1922.666667
73647,2859
73650,3811.666667
73651,10761
73654,3647.833333
73655,2712.166667
73658,763.8333333
73660,984
73661,1363.333333
73662,13436.16667
73663,6191.666667
73664,3086.166667
73666,1056.5
73667,2127.333333
73669,6975.833333
73673,920.8333333
73701,61573.83333
73703,148406.6667
73716,1725.5
73717,27962.16667
73718,1990.5
73720,1097.166667
73722,1848.166667
73724,5139.333333
73726,1784.666667
73728,9146.333333
73729,2167.333333
73730,2485
73734,3860.166667
73735,3405.833333
73736,1933.666667
73737,13706.5
73738,3915
73739,1336.333333
73741,2271.333333
73742,15249.33333
73744,1195.166667
73747,1429.666667
73749,1517.166667
73750,41748.83333
73753,2130.5
73754,4196.333333
73755,2429.5
73756,1689.166667
73759,6408.833333
73760,1718.333333
73761,1678.833333
73762,19458.83333
73763,6946.833333
73766,4460.333333
73768,6416.666667
73771,1323.5
73772,14063.16667
73773,6913
73801,56785
73832,3715
73834,5587.333333
73835,768.6666667
73838,2034.166667
73840,1968.666667
73841,1493
73842,1558.166667
73843,2473.666667
73844,1139.666667
73848,7886.833333
73852,8281.833333
73853,1491.666667
73857,2502.166667
73858,6827.333333
73859,5091.833333
